,pert,PCID,cell,type,trend,WTCS,WTCS_Pval,WTCS_FDR,NCS,NCSct,N_upset,N_downset,t_gn_sym,jlf_tau,FDA-approved,FRDA-CT,
1,YL-54,73707438,1HAE,trt_cp,down,-0.4162084,2.54E-05,0.000549895,-1.578377469,0.646492708,128,100,NA,-99.59426456,,,
2,BRD-K68144790,NA,1HAE,trt_cp,up,0.384470082,2.68E-05,0.000549895,1.57585206,0.77600282,128,100,NA,99.55979674,,,
3,cortisone,222786,1HAE,trt_cp,up,0.379370892,2.70E-05,0.000549895,1.554951683,0,128,100,AKR1D1; HSD11B2; NR3C1; SRD5A1; SRD5A3,99.31556764,,,
4,BRD-K03670461,NA,1HAE,trt_cp,up,0.364316768,2.77E-05,0.000549895,1.493248388,0,128,100,NA,99.11269991,,,
5,tyrphostin-A9,5614,1HAE,trt_cp,down,-0.393350952,2.64E-05,0.000549895,-1.491695699,-1.062376448,128,100,NA,-97.4208225,,,
6,cediranib,9933475,1HAE,trt_cp,up,0.362380262,2.78E-05,0.000549895,1.485311106,0,128,100,CSF1R; DDR1; DDR2; EPHA6; FGFR2; FGFR3; FLT1; FLT3; FLT4; KDR; KIT; PDGFRA; PDGFRB; RET; SLK; STK10; STK35,98.00874498,,,
7,BI-78D3,2747117,1HAE,trt_cp,down,-0.390402538,2.65E-05,0.000549895,-1.480514497,0,128,100,MAPK8,-98.68825337,,,
8,MK-2206,24964624,1HAE,trt_cp,up,0.352668253,2.85E-05,0.000549895,1.445503873,0,128,100,AKT1; AKT2; AKT3,98.24214134,,,
9,CCT-018159,984170,1HAE,trt_cp,down,-0.375646662,2.72E-05,0.000549895,-1.42455613,-1.053043018,128,100,NA,-99.0398251,,,
10,BMS-345541,9813758,1HAE,trt_cp,down,-0.366126013,2.76E-05,0.000549895,-1.388451196,0,128,100,CHUK; IKBKB,-96.71373986,,,
11,decitabine,451668,1HAE,trt_cp,down,-0.364339402,2.77E-05,0.000549895,-1.381675868,0,128,100,DNMT1,-97.87481289,YES,no,https://academic.oup.com/hmg/article/29/23/3818/6039275
12,BRD-K37846922,NA,1HAE,trt_cp,down,-0.360704541,2.79E-05,0.000549895,-1.36789147,-0.082853824,128,100,NA,-97.36862838,,,"3,3'-diindolylmethane"
13,BRD-K61463582,1674,1HAE,trt_cp,up,0.328135618,5.31E-05,0.000701645,1.344950397,0,128,100,NA,98.18108406,,,
14,JNJ-26481585,11538455,1HAE,trt_cp,up,0.326043251,5.94E-05,0.000757407,1.336374281,0,128,100,NA,95.18435358,,,
15,EI-247,73707420,1HAE,trt_cp,down,-0.351834317,2.87E-05,0.000549895,-1.334253126,0,128,100,INSR,-96.75707083,,,
16,rottlerin,5281847,1HAE,trt_cp,down,-0.349206959,2.94E-05,0.000549895,-1.324289457,-0.887232171,128,100,KCNH2; TGM2,-96.27747577,,,
17,SYK-inhibitor,6419747,1HAE,trt_cp,up,0.31704219,0.000111842,0.001217902,1.299481057,0,128,100,NA,94.68407784,,,
18,TPCA-1,9903786,1HAE,trt_cp,down,-0.338848173,3.44E-05,0.000557763,-1.285006073,-1.058156674,128,100,CDC42BPB; EPHB1; IKBKB; MAP3K9; NTRK3; NUAK1; RET; TNK2; TYK2,-94.97262271,,,
19,erastin,11214940,1HAE,trt_cp,up,0.308523445,0.000219747,0.002110864,1.264564732,-0.28747276,128,100,VDAC2,92.90455369,,,
20,BRD-A96799240,NA,1HAE,trt_cp,down,-0.332170057,4.38E-05,0.000622017,-1.259680809,-0.600728717,128,100,NA,-91.38993934,,,
21,methoprene-acid,5353760,1HAE,trt_cp,up,0.306047167,0.000288462,0.002634848,1.254415055,0,128,100,NCOA2; NR1H3; RXRA; RXRB,92.32450957,,,
22,belinostat,6918638,1HAE,trt_cp,down,-0.328523883,5.03E-05,0.000676563,-1.245853507,-0.911431237,128,100,HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9,-94.2015284,yes,no,
23,carbetocin,73707428,1HAE,trt_cp,up,0.295852307,0.000722254,0.005713664,1.212628732,0.027835152,128,100,OXTR,90.09493422,,,
24,fludarabine,57007282,1HAE,trt_cp,down,-0.317338328,0.000111842,0.001217902,-1.203434789,0.864969065,128,100,ADA; BAX; DCK; MCL1; POLA1; RRM1; RRM2; SLC29A1,-91.05116994,yes,no,
25,labetalol,3869,1HAE,trt_cp,up,0.290781714,0.001128151,0.008321128,1.191845569,0,128,100,ADRA1A; ADRA1B; ADRA1D; ADRB1; ADRB2,86.64618294,,,
26,sorafenib,406563,1HAE,trt_cp,down,-0.312340784,0.000167807,0.001691297,-1.184482717,-0.990525174,128,100,ARAF; BRAF; CCNC; CDK8; CYP2B6; CYP2C8; CYP3A5; DDR1; DDR2; FLT1; FLT3; FLT4; HIPK4; KDR; KIT; MAPK15; MLTK; PDGFB; PDGFRA; PDGFRB; RAF1; RET; SLCO1B3; TIE1,-90.29780194,yes,no,
27,evodiamine,151289,1HAE,trt_cp,up,0.288237017,0.001465463,0.010373576,1.181415455,0.726235725,128,100,TRPV1,90.56468132,,,
28,BRD-K40853697,NA,1HAE,trt_cp,up,0.287033263,0.001598629,0.011155251,1.176481552,0.38142494,128,100,NA,86.73678405,,,
29,2-aminopurine,160416,1HAE,trt_cp,down,-0.308490305,0.000240222,0.002271873,-1.169880634,-0.490065082,128,100,NA,-86.17742063,no,,
30,PLX-4720,24180719,1HAE,trt_cp,down,-0.305971401,0.000288462,0.002634848,-1.160328252,0,128,100,BRAF; FGR; KDR; MAP2K5; MLTK; PTK6; SRMS,-88.53009533,,,
31,tunicamycin,73438893,1HAE,trt_cp,down,-0.301070867,0.000457096,0.003894561,-1.141744071,0,128,100,GNPTAB,-88.01110848,,,
32,BI-2536,11364421,1HAE,trt_cp,down,-0.298132621,0.000602317,0.004910221,-1.13060143,0,128,100,BRD4; PLK1; PLK2; PLK3,-84.70712204,,,
33,aprepitant,151165,1HAE,trt_cp,up,0.275632483,0.004000609,0.024167879,1.129752448,0,128,100,CYP2C9; TACR1,82.74541086,,,
34,GSK-1059615,23658330,1HAE,trt_cp,down,-0.295587617,0.000722254,0.005713664,-1.12095007,0,128,100,PIK3CA; PIK3CG,-86.49058536,,,
35,alisertib,24771867,1HAE,trt_cp,up,0.272582161,0.005066029,0.029554453,1.1172499,-0.959441734,128,100,AURKA,83.49976365,,,
36,BRD-K38756014,NA,1HAE,trt_cp,up,0.271495962,0.00591107,0.033703954,1.112797826,0,128,100,NA,76.79035689,,,
37,Ro-3306,11631681,1HAE,trt_cp,down,-0.293060488,0.000944242,0.007159121,-1.111366496,-0.661208629,128,100,CDK1; CLK2,-84.62833845,,,
38,calcifediol,46705323,1HAE,trt_cp,up,0.270782305,0.00591107,0.033703954,1.109872715,0.026416357,128,100,VDR,81.8709131,,,
39,androstenedione,6128,1HAE,trt_cp,down,-0.291283963,0.001128151,0.008321128,-1.104629424,-0.462691507,128,100,AKR1C3; HSD17B1; HSD3B1,-81.71925471,,,
40,trimidox,5464467,1HAE,trt_cp,down,-0.289244759,0.001342088,0.009635931,-1.096896197,0,128,100,RRM1,-78.74222012,,,
41,pazopanib,11525740,1HAE,trt_cp,down,-0.288780654,0.001342088,0.009635931,-1.095136182,-0.715444119,128,100,BRAF; CSF1R; CYP2B6; CYP2C8; CYP2E1; DDR1; DDR2; EPHB6; FGF1; FGFR3; FLT1; FLT4; ITK; KDR; KIT; MAP3K10; MAP3K11; MAP3K9; MAP4K5; PDGFRA; PDGFRB; RAF1; RET; ROS1; SH2B3; STK10; TAOK1; TAOK2; TAOK3,-81.55873316,yes,,
42,BML-257,NotFound,1HAE,trt_cp,up,0.264539829,0.009251091,0.049169997,1.084286278,0.029036561,128,100,AKT1,77.33987237,,,
43,orantinib,5329099,1HAE,trt_cp,up,0.264491218,0.009939967,0.052251591,1.084087033,-0.875304807,128,100,AURKA; AURKB; EGFR; FGFR2; IKBKE; KDR; PDGFRA; PDGFRB; TBK1,78.47238635,,,
44,androstenol,101989,1HAE,trt_cp,up,0.264373663,0.009939967,0.052251591,1.083605206,0,128,100,NR1I3,79.11151816,,,
45,GSK-429286A,11373846,1HAE,trt_cp,up,0.263623153,0.009939967,0.052251591,1.080529039,0,128,100,ROCK1,79.45422674,,,
46,ketoconazole,3823,1HAE,trt_cp,down,-0.283366368,0.002252146,0.014908209,-1.074603711,0,128,100,AR; CYP19A1; CYP21A2; CYP3A5; CYP3A7; CYP51A1; KCNA10; KCNH2; NR1I2; NR1I3,-79.59702198,,,
47,H-7,9862218,1HAE,trt_cp,down,-0.281508623,0.002448393,0.016010019,-1.067558627,0,128,100,PKIA; PRKACA; PRKAR1A,-76.04979122,,,
48,tyrphostin-1,2063,1HAE,trt_cp,down,-0.28123238,0.002664201,0.017182191,-1.066511038,0,128,100,EGFR,-76.02911053,,,
49,alfuzosin,2092,1HAE,trt_cp,down,-0.278582778,0.003138139,0.019720227,-1.056463011,-0.259619248,128,100,ADRA1A; ADRA1B; ADRA1D; KCNH2,-74.94091231,,,
50,tenofovir,464205,1HAE,trt_cp,down,-0.276330456,0.004000609,0.024167879,-1.047921583,0,128,100,NA,-76.16993619,,,
51,lavendustin-c,3896,1HAE,trt_cp,down,-0.275521969,0.004000609,0.024167879,-1.044855579,0,128,100,CAMK2A; EGFR; SRC,-73.27168518,,,
52,neurodazine,16112820,1HAE,trt_cp,down,-0.275395118,0.004329979,0.025837891,-1.044374523,0,128,100,NA,-75.00295438,,,
53,tamibarotene,108143,1HAE,trt_cp,up,0.254397967,0.01968843,0.092356538,1.042717184,0,128,100,CRABP1; CRABP2; RARA; RARB,74.25549515,,,
54,ABT-737,11228183,1HAE,trt_cp,down,-0.272664365,0.005066029,0.029554453,-1.034018751,0,128,100,BAD; BCL2; BCL2L1; BCL2L2,-71.44587568,,,
55,somatostatin,16129706,1HAE,trt_cp,up,0.249442638,0.026983845,0.120135371,1.02240646,0.619063085,128,100,GH1; GHR; OPRD1; OPRM1; SSTR1; SSTR2; SSTR3; SSTR4; SSTR5,69.89679351,,,
56,celastrol,73707365,1HAE,trt_cp,up,0.24794769,0.028677127,0.12633363,1.01627902,0,128,100,IL1B; TNF,66.25896163,,,
57,BRD-K19136521,NA,1HAE,trt_cp,down,-0.266415573,0.008597378,0.046208235,-1.010321602,0,128,100,NA,-81.08997085,,,
58,BRD-K51781482,NA,1HAE,trt_cp,up,0.246118308,0.032325367,0.139613249,1.008780816,0,128,100,NA,63.78614197,,,
59,deguelin,107935,1HAE,trt_cp,down,-0.262390803,0.011461721,0.058846645,-0.995058561,-0.302583287,128,100,AKT1,-68.1290869,,,
60,amonafide,50515,1HAE,trt_cp,down,-0.261076795,0.012290029,0.062405178,-0.990075479,0,128,100,TOP2A; TOP2B,-77.20594028,,,
61,alitretinoin,449171,1HAE,trt_cp,down,-0.260278246,0.013176218,0.066140978,-0.987047161,0.773757038,128,100,ABCA1; ALDH1A1; ALDH1A2; AOX1; CYP26C1; CYP2C8; CYP3A7; IGFBP3; PSG5; RARA; RARB; RARG; RXRA; RXRB; RXRG; VKORC1,-64.65473095,,,
62,taurodeoxycholic-acid,2733768,1HAE,trt_cp,down,-0.259579417,0.013176218,0.066140978,-0.984397006,0,128,100,NA,-61.9544237,,,
63,rivaroxaban,9875401,1HAE,trt_cp,up,0.237049909,0.053262538,0.210849136,0.971611591,0.051837916,128,100,CYP2J2; CYP3A5; F10,63.1017096,,,
64,gefitinib,123631,1HAE,trt_cp,up,0.233487927,0.065163556,0.248421991,0.957011865,0,128,100,ABCG2; EGFR; EPHA6; ERBB3; ERBB4; GAK; IFI27L2; IRAK1; MAPK3; VEGFA,61.24931064,,,
65,droxinostat,568416,1HAE,trt_cp,down,-0.25081868,0.023839048,0.10837231,-0.951173865,-0.884930313,128,100,HDAC6; HDAC8,-68.39695108,,,
66,ZM-447439,9914412,1HAE,trt_cp,down,-0.250746089,0.023839048,0.10837231,-0.950898583,0,128,100,AURKA; AURKB,-66.70704325,,,
67,BRD-A01317026,NA,1HAE,trt_cp,down,-0.246006333,0.032325367,0.139613249,-0.932924115,0,128,100,NA,-58.86019853,,,
68,GANT-58,253078,1HAE,trt_cp,up,0.227059909,0.08613861,0.3108447,0.930664941,0,128,100,DHH; GLI1; IHH,55.48333727,,,
69,BRD-K57926513,NA,1HAE,trt_cp,up,0.226345168,0.089992562,0.314451409,0.927735386,0,128,100,NA,52.21775782,,,
70,BRD-K82206012,10357822,1HAE,trt_cp,up,0.223257368,0.102095114,0.314451409,0.91507922,-0.812925557,128,100,NA,57.8507839,,,
71,PD-0325901,10206158,1HAE,trt_cp,down,-0.238868437,0.04793888,0.193232204,-0.905855238,0,128,100,MAP2K1; MAP2K2,-53.64964941,,,
72,arctigenin,64981,1HAE,trt_cp,up,0.220498807,0.115029326,0.314451409,0.903772534,0,128,100,ADIPOR1; AHR; CHUK; MAP2K1,55.73938391,,,
73,CAY-10585,35028748,1HAE,trt_cp,down,-0.238184805,0.050553905,0.201841928,-0.903262717,0,128,100,HIF1A,-55.01949894,,,
74,antimycin-a,16218979,1HAE,trt_cp,down,-0.236956864,0.053262538,0.210849136,-0.898606025,-0.341470289,128,100,CYCS,-66.53076499,,,
75,thiostrepton,16129995,1HAE,trt_cp,up,0.219033287,0.119505026,0.314451409,0.897765712,0,128,100,FOXM1,56.62766879,,,
76,BRD-K04877770,NA,1HAE,trt_cp,up,0.218836943,0.119505026,0.314451409,0.896960945,0,128,100,NA,52.98688253,,,
77,chromomycin-a3,73707419,1HAE,trt_cp,down,-0.236111929,0.056072874,0.219823331,-0.895401795,0,128,100,NA,-61.35566848,,,
78,SU-11274,9549297,1HAE,trt_cp,down,-0.236048839,0.056072874,0.219823331,-0.89516254,-0.325638697,128,100,MET,-58.86413771,,,
79,CGP-53353,6711154,1HAE,trt_cp,up,0.21785249,0.124057254,0.314451409,0.892925903,0,128,100,EGFR; PRKCB,51.72929961,,,
80,sitagliptin,4369359,1HAE,trt_cp,down,-0.235259125,0.058996945,0.229075628,-0.892167727,0,128,100,CYP2C8; DPP4; FASLG; HMGCR; SLC22A8,-51.97451351,,,
81,ZSTK-474,11647372,1HAE,trt_cp,up,0.216519995,0.128673606,0.314451409,0.88746432,-0.919476492,128,100,PIK3CA; PIK3CB; PIK3CD; PIK3CG,61.86185299,,,
82,HNHA,16126782,1HAE,trt_cp,up,0.214991691,0.138118354,0.314451409,0.881200163,0,128,100,HDAC1,48.70204049,,,
83,BL-077,23902994,1HAE,trt_cp,up,0.214791345,0.138118354,0.314451409,0.880378995,0.625069086,128,100,NA,52.70030726,,,
84,NVP-BEZ235,11977753,1HAE,trt_cp,down,-0.231071058,0.071748989,0.268556869,-0.87628542,-1.149313115,128,100,NA,-56.852202,,,
85,floxuridine,3363,1HAE,trt_cp,down,-0.230242206,0.075186578,0.278599688,-0.873142183,0,128,100,TYMS,-62.61423619,,,
86,fasudil,3547,1HAE,trt_cp,down,-0.227822023,0.082382487,0.299890565,-0.86396418,0,128,100,CDC42BPB; MYLK3; PKIA; PRKACA; PRKG1; PRKX; ROCK1; ROCK2,-47.34696289,,,
87,TTNPB,5289501,1HAE,trt_cp,up,0.210524271,0.157560362,0.314451409,0.862889265,0.843213469,128,100,RARA; RARB; RARG,49.00535728,,,
88,ruxolitinib,25126798,1HAE,trt_cp,down,-0.227128189,0.08613861,0.3108447,-0.861332969,0,128,100,JAK2; TYK2,-48.14366186,,,
89,cyclophosphamide,22420,1HAE,trt_cp,down,-0.226000336,0.089992562,0.314451409,-0.857055837,0,128,100,BCL2; CYP2B6; CYP2C9; CYP3A5; LGALS1; NR1I2,-42.2624675,,,
90,gossypol,227456,1HAE,trt_cp,down,-0.222940968,0.102095114,0.314451409,-0.845453867,0,128,100,BCL2; BCL2L1; BCL2L2; CTGF; EGF; MCL1,-60.91743481,,,
91,mitoxantrone,4212,1HAE,trt_cp,up,0.205339614,0.18742328,0.314451409,0.841638581,0,128,100,ABCB1; ABCC1; ABCG2; PIM1; TOP2A; TOP2B,48.14957063,,,
92,lestaurtinib,126565,1HAE,trt_cp,up,0.20512376,0.18742328,0.314451409,0.840753847,0,128,100,FLT3; JAK2; NTRK1; NTRK2; NTRK3,64.21748208,,,
93,tenovins,NA,1HAE,trt_cp,up,0.204749956,0.18742328,0.314451409,0.839221712,-0.897712601,128,100,SIRT1; SIRT2,40.83057591,,,
94,entecavir,153941,1HAE,trt_cp,up,0.204677925,0.18742328,0.314451409,0.838926473,1.075570019,128,100,NA,43.14188923,,,
95,KI-8751,11317348,1HAE,trt_cp,down,-0.219312105,0.119505026,0.314451409,-0.831692214,0.043082038,128,100,KDR,-49.22299693,,,
96,BRD-K12244279,NA,1HAE,trt_cp,down,-0.218856767,0.119505026,0.314451409,-0.829965447,0,128,100,NA,-39.30020484,,,
97,PP-1,1400,1HAE,trt_cp,up,0.199040612,0.216603676,0.314451409,0.815820459,-0.649768063,128,100,HCK; RET; SRC,48.36524068,,,
98,NPI-2358,NA,1HAE,trt_cp,down,-0.214224855,0.142911457,0.314451409,-0.812399953,0.982807001,128,100,NA,-52.7682581,,,
99,navitoclax,24978538,1HAE,trt_cp,down,-0.212595174,0.147753561,0.314451409,-0.806219751,0,128,100,BAD; BCL2; BCL2L1; BCL2L2,-51.90754747,,,
100,tienilic-acid,38409,1HAE,trt_cp,up,0.194234262,0.239193591,0.314451409,0.796120364,-0.196846734,128,100,CYP2C9; SLC12A1; SLC22A12,39.32974868,,,
101,paxilline,105008,1HAE,trt_cp,down,-0.20792123,0.172464502,0.314451409,-0.788494863,0,128,100,ABCA1; KCNMA1; NR1H3,-47.34400851,,,
102,nelfinavir,73707414,1HAE,trt_cp,down,-0.207783433,0.172464502,0.314451409,-0.787972298,-0.648633705,128,100,CYP3A5; CYP3A7,-35.767746,,,
